team,name,AB,H,2B,3B,HR,TB,BB,HBP,SF
ヤクルト,坂本拓己,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,澤井廉,75.0,14.0,4.0,0.0,1.0,21.0,1.0,1.0,0.0
ヤクルト,塩見泰隆,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,清水昇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,下川隼佑,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
ヤクルト,荘司宏太,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,鈴木叶,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ヤクルト,高梨裕稔,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ヤクルト,高橋奎二,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,田口麗斗,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,武岡龍世,104.0,19.0,5.0,0.0,1.0,27.0,7.0,0.0,1.0
ヤクルト,田中陽翔,13.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0
ヤクルト,中村優斗,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ヤクルト,中村悠平,187.0,43.0,6.0,0.0,1.0,52.0,22.0,3.0,1.0
ヤクルト,長岡秀樹,247.0,60.0,14.0,2.0,0.0,78.0,8.0,1.0,2.0
ヤクルト,並木秀尊,114.0,29.0,6.0,1.0,3.0,46.0,6.0,2.0,0.0
ヤクルト,西川遥輝,115.0,20.0,3.0,1.0,0.0,25.0,16.0,1.0,0.0
ヤクルト,西村瑠伊斗,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ヤクルト,沼田翔平,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,バウマン,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,橋本星哉,16.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
ヤクルト,長谷川宙輝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,濱田太貴,95.0,21.0,6.0,0.0,4.0,39.0,5.0,4.0,0.0
ヤクルト,星知弥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,増田珠,116.0,27.0,4.0,2.0,1.0,38.0,10.0,4.0,0.0
ヤクルト,松本健吾,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,松本直樹,34.0,6.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0
ヤクルト,丸山和郁,32.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
ヤクルト,丸山翔大,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,宮本丈,89.0,23.0,4.0,0.0,0.0,27.0,14.0,1.0,0.0
ヤクルト,村上宗隆,187.0,51.0,7.0,0.0,22.0,124.0,32.0,2.0,3.0
ヤクルト,茂木栄五郎,150.0,36.0,2.0,0.0,5.0,53.0,19.0,2.0,0.0
ヤクルト,矢崎拓也,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,山田哲人,338.0,78.0,17.0,0.0,12.0,131.0,33.0,2.0,4.0
ヤクルト,山野太一,21.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0
ヤクルト,山野辺翔,19.0,4.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0
ヤクルト,山本大貴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ヤクルト,吉村貢司郎,36.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
ヤクルト,ランバート,28.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
中日,石伊雄太,235.0,52.0,9.0,0.0,3.0,70.0,14.0,3.0,2.0
中日,石川昂弥,72.0,10.0,2.0,0.0,1.0,15.0,2.0,1.0,0.0
中日,石橋康太,8.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
中日,板山祐太郎,179.0,37.0,5.0,2.0,2.0,52.0,10.0,1.0,1.0
中日,伊藤茉央,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中日,岩嵜翔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中日,ウォルターズ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中日,上林誠知,486.0,131.0,21.0,4.0,17.0,211.0,20.0,4.0,1.0
中日,鵜飼航丞,53.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
中日,宇佐見真吾,34.0,4.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0
中日,梅野雄吾,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中日,大島洋平,95.0,23.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0
中日,大野雄大,32.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
中日,岡田俊哉,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中日,岡林勇希,578.0,168.0,22.0,8.0,5.0,221.0,51.0,1.0,3.0
中日,尾田剛樹,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中日,カリステ,176.0,40.0,9.0,1.0,1.0,54.0,12.0,0.0,3.0
中日,勝野昌慶,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
中日,加藤匠馬,64.0,15.0,1.0,0.0,1.0,19.0,2.0,0.0,0.0
中日,金丸夢斗,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
