game_date,stadium_id,top_bottom,bat_order,batter_obp,batter_ops,batter_xbh_rate,batter_vs_rhp_avg,batter_vs_rhp_ops,batter_vs_lhp_avg,batter_vs_lhp_ops
2025-03-29,京セラドーム大阪,1,3,0.3016,0.6289,0.0,0.0,0.0,0.0,0.0
2025-03-29,京セラドーム大阪,1,4,0.3636,0.8705,0.0,1.0,2.0,0.0,0.0
2025-03-29,京セラドーム大阪,1,5,0.3313,0.6613,0.0,0.5,1.0,1.0,2.0
2025-03-29,京セラドーム大阪,1,6,0.2857,0.5901,0.25,0.0,0.0,0.333333,1.666667
2025-03-29,京セラドーム大阪,1,7,0.25,0.5,0.0,0.0,0.0,0.333333,0.666667
2025-03-29,京セラドーム大阪,1,8,0.3108,0.5608,0.0,1.0,5.0,0.5,1.0
2025-03-29,京セラドーム大阪,1,9,0.3095,0.7095,0.25,0.0,0.0,0.25,0.75
2025-03-29,東京ドーム,0,1,0.2,0.4,0.0,0.2,0.4,,
2025-03-29,東京ドーム,0,2,0.2,0.4,0.0,0.2,0.4,,
2025-03-29,東京ドーム,0,3,0.0,0.0,0.0,0.0,0.0,,
2025-03-29,東京ドーム,0,4,0.5,1.75,0.25,0.5,1.75,,
2025-03-29,東京ドーム,0,5,0.0,0.0,0.0,0.0,0.0,,
2025-03-29,東京ドーム,0,6,0.25,0.5,0.0,0.25,0.5,,
2025-03-29,東京ドーム,0,7,0.5,0.8333,0.0,0.333333,0.833333,,
2025-03-29,東京ドーム,0,8,0.25,0.5,0.0,0.25,0.5,,
2025-03-29,東京ドーム,0,9,,,,,,,
2025-03-29,東京ドーム,1,1,0.6667,1.3333,0.0,0.5,1.0,1.0,2.0
2025-03-29,東京ドーム,1,2,0.8,2.8,0.6,0.666667,2.0,1.0,5.0
2025-03-29,東京ドーム,1,3,0.4,0.65,0.0,0.0,0.0,1.0,2.0
2025-03-29,東京ドーム,1,4,0.2,0.4,0.0,0.0,0.0,1.0,2.0
2025-03-29,東京ドーム,1,5,0.4,0.8,0.0,0.5,1.0,0.0,0.0
2025-03-29,東京ドーム,1,6,1.0,2.0,0.0,1.0,2.0,0.0,0.0
2025-03-29,東京ドーム,1,7,0.6,1.2,0.0,0.5,1.0,1.0,2.0
2025-03-29,東京ドーム,1,8,0.2,0.4,0.0,0.333333,0.666667,0.0,0.0
2025-03-29,東京ドーム,1,9,0.0,0.0,0.0,,,,
2025-03-29,横浜,0,1,0.25,0.75,0.25,0.0,0.0,0.333333,1.0
2025-03-29,横浜,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,横浜,0,3,0.0,0.0,0.0,0.0,0.0,,
2025-03-29,横浜,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,横浜,0,5,0.25,0.75,0.25,0.0,0.0,0.333333,1.0
2025-03-29,横浜,0,6,0.25,0.5,0.0,0.0,0.0,0.333333,0.666667
2025-03-29,横浜,0,7,1.0,2.0,0.0,1.0,2.0,,
2025-03-29,横浜,0,8,0.0,0.0,0.0,1.0,2.0,0.0,0.0
2025-03-29,横浜,0,9,0.0,0.0,0.0,0.0,0.0,,
2025-03-29,横浜,1,1,0.25,0.5,0.0,0.25,0.5,0.0,0.0
2025-03-29,横浜,1,2,0.25,0.5,0.0,0.25,0.5,0.0,0.0
2025-03-29,横浜,1,3,0.25,0.75,0.25,0.25,0.75,0.0,0.0
2025-03-29,横浜,1,4,0.5,1.1667,0.25,0.5,1.666667,0.0,0.0
2025-03-29,横浜,1,5,0.75,1.4167,0.0,0.666667,1.333333,0.0,0.5
2025-03-29,横浜,1,6,0.25,0.25,0.0,0.0,0.333333,0.0,0.0
2025-03-29,横浜,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,横浜,1,8,0.6667,1.3333,0.0,0.666667,1.333333,0.0,0.0
2025-03-29,横浜,1,9,,,,,,,
2025-03-30,みずほペイペイドーム,0,1,0.303,0.7093,0.25,0.75,1.75,0.0,0.5
2025-03-30,みずほペイペイドーム,0,2,0.3304,0.6638,0.111111111,0.2,0.4,0.25,0.75
2025-03-30,みずほペイペイドーム,0,3,0.2833,0.5426,0.066666667,0.142857,0.285714,0.285714,1.0
2025-03-30,みずほペイペイドーム,0,4,0.2,0.5529,0.125,0.2,1.0,0.0,0.0
2025-03-30,みずほペイペイドーム,0,5,0.2727,0.5341,0.111111111,0.166667,0.952381,0.0,0.0
2025-03-30,みずほペイペイドーム,0,6,0.3333,0.7778,0.111111111,0.285714,0.571429,0.5,1.5
2025-03-30,みずほペイペイドーム,0,7,0.3333,0.72,0.2,0.4,1.0,,
2025-03-30,みずほペイペイドーム,0,8,0.6,1.35,0.2,0.5,1.35,,
2025-03-30,みずほペイペイドーム,0,9,0.2093,0.4236,0.0,0.5,1.0,,
2025-03-30,みずほペイペイドーム,1,1,0.3846,0.7229,0.1,0.2,0.4,0.4,1.0
2025-03-30,みずほペイペイドーム,1,2,0.3175,0.714,0.0,0.5,0.928571,0.0,0.333333
2025-03-30,みずほペイペイドーム,1,3,0.25,0.875,0.125,0.333333,1.166667,0.0,0.0
2025-03-30,みずほペイペイドーム,1,4,0.2105,0.382,0.125,0.0,0.0,0.5,1.5
2025-03-30,みずほペイペイドーム,1,5,0.25,0.5,0.0,0.4,0.8,0.0,0.0
2025-03-30,みずほペイペイドーム,1,6,0.2727,0.6216,0.125,0.25,0.45,0.333333,1.0
2025-03-30,みずほペイペイドーム,1,7,0.3947,0.8392,0.0,1.0,2.0,,
2025-03-30,みずほペイペイドーム,1,8,0.2625,0.6334,0.0,0.0,0.0,0.0,0.0
2025-03-30,みずほペイペイドーム,1,9,0.2143,0.4143,0.333333333,1.0,3.0,0.0,0.0
2025-03-30,ベルーナドーム,0,1,0.2353,0.5165,0.0,0.2,0.4,,
2025-03-30,ベルーナドーム,0,2,0.321,0.7625,0.111111111,0.111111,0.555556,,
2025-03-30,ベルーナドーム,0,3,0.3714,0.9407,0.111111111,0.375,1.194444,,
2025-03-30,ベルーナドーム,0,4,0.2647,0.699,0.111111111,0.111111,0.333333,,
2025-03-30,ベルーナドーム,0,5,0.3382,0.7898,0.125,0.375,0.875,,
2025-03-30,ベルーナドーム,0,6,0.2188,0.4446,0.0,0.0,0.0,,
2025-03-30,ベルーナドーム,0,7,0.1429,0.2857,0.0,0.0,0.0,,
2025-03-30,ベルーナドーム,0,8,0.4545,1.2727,0.333333333,0.666667,1.666667,,
2025-03-30,ベルーナドーム,0,9,0.3256,0.6414,0.0,0.25,0.5,,
2025-03-30,ベルーナドーム,1,1,0.3049,0.7259,0.0,0.0,0.0,0.333333,0.666667
2025-03-30,ベルーナドーム,1,2,0.3304,0.6659,0.0,0.6,1.266667,0.0,0.0
2025-03-30,ベルーナドーム,1,3,0.3625,0.6768,0.0,0.166667,0.333333,0.666667,1.333333
2025-03-30,ベルーナドーム,1,4,0.2286,0.4345,0.0,0.0,0.0,,
2025-03-30,ベルーナドーム,1,5,0.4286,0.8571,0.0,0.75,1.5,0.0,0.0
