name,AB,H,2B,3B,HR,TB,BB,HBP,SF
富山凌雅,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
頓宮裕真,473.0,118.0,20.0,0.0,13.0,177.0,43.0,5.0,4.0
中川圭太,433.0,123.0,26.0,1.0,12.0,187.0,20.0,1.0,4.0
西川龍馬,387.0,120.0,23.0,1.0,5.0,160.0,18.0,2.0,1.0
西野真弘,230.0,66.0,9.0,3.0,7.0,102.0,15.0,1.0,0.0
野口智哉,55.0,8.0,5.0,1.0,1.0,18.0,6.0,3.0,0.0
平野佳寿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
廣岡大志,402.0,102.0,15.0,1.0,7.0,140.0,39.0,0.0,4.0
博志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
福田周平,54.0,9.0,1.0,0.0,0.0,10.0,4.0,0.0,0.0
福永奨,66.0,10.0,2.0,1.0,1.0,17.0,4.0,2.0,1.0
ペルドモ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
堀柊那,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
本田圭佑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
マチャド,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宮城大弥,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
麦谷祐介,134.0,31.0,4.0,2.0,1.0,42.0,16.0,1.0,1.0
椋木蓮,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
宗佑磨,349.0,82.0,12.0,1.0,6.0,114.0,26.0,9.0,1.0
森友哉,161.0,33.0,8.0,0.0,1.0,44.0,26.0,3.0,1.0
山岡泰輔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口廉王,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山﨑颯一郎,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山下舜平大,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山田修義,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山中稜真,49.0,6.0,1.0,1.0,1.0,12.0,3.0,0.0,0.0
横山楓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
横山聖哉,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
若月健矢,368.0,100.0,16.0,2.0,6.0,138.0,16.0,7.0,1.0
渡部遼人,10.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
青山美夏人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
