game_date,batter_id,batter_name,pitcher_id,pitcher_name,stadium_id,Home_Away_id,bat_order,inning,top_bottom,out_count,runner1,runner2,runner3,score_diff,batter_hand,pitcher_hand,batter_avg,batter_ops,batter_obp,batter_slg,batter_iso,batter_vs_rhp_avg,batter_vs_rhp_ops,batter_vs_lhp_avg,batter_vs_lhp_ops,pitcher_era,pitcher_k9,pitcher_whip,pitcher_ops,vs_ops,previous_result1,previous_result2,previous_result3,previous_result4,previous_result5,label
2025/3/28,B_0014,門脇　誠,P_0008,田口　麗斗,東京ドーム,Home,8,9,1,2,1,1,1,3,左,左,0.3333,0.6667,0.3333,0.3333,0,0.333333,0.666667,,,19.2857,0,1.7143,1.381,,三振,中飛,投安,,,三振
2025/3/28,B_0023,長野　久義,P_0008,田口　麗斗,東京ドーム,Home,8,9,1,0,0,0,0,3,右,左,,,,,,,,,,16.875,3.375,1.5,1.1964,,,,,,,中安
2025/3/28,B_0001,西川　遙輝,P_0009,R.マルティネス,東京ドーム,Away,1,10,0,0,0,0,0,-3,左,右,0.25,0.5,0.25,0.25,0,0.25,0.5,,,,,,,,三振,右安,二ゴ,一ゴ,,左飛
2025/3/28,B_0002,岩田　幸宏,P_0009,R.マルティネス,東京ドーム,Away,2,10,0,1,0,0,0,-3,左,右,0.25,0.5,0.25,0.25,0,0.25,0.5,,,0,0,0,0,,中安,三ゴ,三ゴ,二ゴ,,中飛
2025/3/28,B_0003,長岡　秀樹,P_0009,R.マルティネス,東京ドーム,Away,3,10,0,2,0,0,0,-3,左,右,0,0,0,0,0,0,0,,,0,0,0,0,,二併,三振,二ゴ,左飛,,捕邪
2025/3/28,B_0004,若林　楽人,P_0010,清水　昇,東京ドーム,Home,1,10,1,0,0,0,0,3,右,右,0.6,1.2,0.6,0.6,0,0.333333,0.666667,1,2,,,,,,右安,左安,三振,右飛,中安,左安
2025/3/28,B_0013,甲斐　拓也,P_0010,清水　昇,東京ドーム,Home,7,10,1,0,1,0,0,3,右,右,0.5,1,0.5,0.5,0,0.333333,0.666667,1,2,27,0,3,2,,中安,遊ゴ,遊飛,右安,,中安
2025/3/28,B_0014,門脇　誠,P_0010,清水　昇,東京ドーム,Home,8,10,1,0,1,1,0,3,左,右,0.25,0.5,0.25,0.25,0,0.333333,0.666667,0,0,27,0,3,2,,三振,三振,中飛,投安,,一ギ
2025/3/28,B_0024,大城　卓三,P_0010,清水　昇,東京ドーム,Home,8,10,1,1,1,1,0,3,左,右,,,,,,,,,,18,0,2,1.3333,,,,,,,三振
2025/3/28,B_0025,岡林　勇希,P_0011,東　克樹,横浜,Away,1,1,0,0,0,0,0,0,左,左,,,,,,,,,,,,,,,,,,,,二ゴ
2025/3/28,B_0026,山本　泰寛,P_0011,東　克樹,横浜,Away,2,1,0,1,0,0,0,0,右,左,,,,,,,,,,0,0,0,0,,,,,,,一邪
2025/3/28,B_0027,O.カリステ,P_0011,東　克樹,横浜,Away,3,1,0,2,0,0,0,0,右,左,,,,,,,,,,0,0,0,0,,,,,,,左安
2025/3/28,B_0028,石川　昂弥,P_0011,東　克樹,横浜,Away,4,1,0,2,1,0,0,0,右,左,,,,,,,,,,9,0,1,0.6667,,,,,,,左飛
2025/3/28,B_0029,梶原　昂希,P_0012,高橋　宏斗,横浜,Home,1,1,1,0,0,0,0,0,左,右,,,,,,,,,,,,,,,,,,,,三邪
2025/3/28,B_0030,牧　秀悟,P_0012,高橋　宏斗,横浜,Home,2,1,1,1,0,0,0,0,右,右,,,,,,,,,,0,0,0,0,,,,,,,左安
2025/3/28,B_0031,筒香　嘉智,P_0012,高橋　宏斗,横浜,Home,3,1,1,1,1,0,0,0,左,右,,,,,,,,,,13.5,0,1.5,1,,,,,,,中飛
2025/3/28,B_0032,T.オースティン,P_0012,高橋　宏斗,横浜,Home,4,1,1,2,1,0,0,0,右,右,,,,,,,,,,9,0,1,0.6667,,,,,,,右２
2025/3/28,B_0033,細川　成也,P_0011,東　克樹,横浜,Away,5,2,0,0,0,0,0,0,右,左,,,,,,,,,,6.75,0,0.75,0.5,,,,,,,二ゴ
2025/3/28,B_0034,中田　翔,P_0011,東　克樹,横浜,Away,6,2,0,1,0,0,0,0,右,左,,,,,,,,,,5.4,0,0.6,0.4,,,,,,,三振
2025/3/28,B_0035,村松　開人,P_0011,東　克樹,横浜,Away,7,2,0,2,0,0,0,0,左,左,,,,,,,,,,4.5,4.5,0.5,0.3333,,,,,,,二ゴ
2025/3/28,B_0036,宮﨑　敏郎,P_0012,高橋　宏斗,横浜,Home,5,2,1,0,0,0,0,0,右,右,,,,,,,,,,13.5,0,1.5,1.25,,,,,,,左安
2025/3/28,B_0037,蝦名　達夫,P_0012,高橋　宏斗,横浜,Home,6,2,1,0,1,0,0,0,右,右,,,,,,,,,,16.2,0,1.8,1.4,,,,,,,死球
2025/3/28,B_0038,山本　大貴,P_0012,高橋　宏斗,横浜,Home,7,2,1,0,1,1,0,0,左,右,0,0,0,0,0,,,,,18,0,1.5,1.4667,,,,,,,遊併
2025/3/28,B_0039,森　敬斗,P_0012,高橋　宏斗,横浜,Home,8,2,1,2,1,1,0,0,左,右,,,,,,,,,,15.4286,0,1.2857,1.2381,,,,,,,左安
2025/3/28,B_0040,東　克樹,P_0012,高橋　宏斗,横浜,Home,9,2,1,2,1,1,1,0,左,右,,,,,,,,,,16.875,0,1.5,1.3393,,,,,,,二ゴ
2025/3/28,B_0025,岡林　勇希,P_0011,東　克樹,横浜,Away,1,3,0,0,0,0,0,0,左,左,0,0,0,0,0,,,0,0,3.8571,3.8571,0.4286,0.2857,0,二ゴ,,,,,左２
2025/3/28,B_0026,山本　泰寛,P_0011,東　克樹,横浜,Away,2,3,0,0,0,1,0,0,右,左,0,0,0,0,0,,,0,0,6.75,3.375,0.75,0.625,0,一邪,,,,,一直
2025/3/28,B_0041,木下　拓哉,P_0011,東　克樹,横浜,Away,8,3,0,1,0,1,0,0,右,左,,,,,,,,,,6,3,0.6667,0.5556,,,,,,,三振
2025/3/28,B_0042,高橋　宏斗,P_0011,東　克樹,横浜,Away,9,3,0,2,0,1,0,0,右,左,,,,,,,,,,5.4,5.4,0.6,0.5,,,,,,,一ゴ
2025/3/28,B_0029,梶原　昂希,P_0012,高橋　宏斗,横浜,Home,1,3,1,0,0,0,0,0,左,右,0,0,0,0,0,0,0,,,15,0,1.3333,1.1806,0,三邪,,,,,三振
